"","team.survscores","opp.survscores","powscore1","powscore2","opp.powscore1","opp.powscore2","sos.x","rpi.x","rank.x","sos.y","rpi.y","rank.y","orank.x","orank.y","winperlastq.x","winperlastq.y"
"1",0.428548144119537,0.389994664128782,-0.0487458932233725,-0.10438530712364,2.74397585455664,0.470050902141032,0.4572,0.5352,287,0.5713,0.6631,23,222.5,39.5,0.875,1
"2",0.428548144119537,0.448679247427482,-0.0487458932233725,-0.10438530712364,2.03686805337319,1.25507585390658,0.4572,0.5352,287,0.5617,0.6123,42,222.5,121,0.875,0.7
"3",0.389994664128782,0.448679247427482,2.74397585455664,0.470050902141032,2.03686805337319,1.25507585390658,0.5713,0.6631,23,0.5617,0.6123,42,39.5,121,1,0.7
"4",0.389994664128782,0.471154450051783,2.74397585455664,0.470050902141032,1.01508825335292,0.562216041844202,0.5713,0.6631,23,0.6022,0.6299,3,39.5,36.5,1,0.666666666666667
"5",0.428548144119537,0.471154450051783,-0.0487458932233725,-0.10438530712364,1.01508825335292,0.562216041844202,0.4572,0.5352,287,0.6022,0.6299,3,222.5,36.5,0.875,0.666666666666667
"6",0.448679247427482,0.471154450051783,2.03686805337319,1.25507585390658,1.01508825335292,0.562216041844202,0.5617,0.6123,42,0.6022,0.6299,3,121,36.5,0.7,0.666666666666667
"7",0.389994664128782,0.47087649165919,2.74397585455664,0.470050902141032,-0.864214959246943,2.16973602274209,0.5713,0.6631,23,0.4703,0.5324,247,39.5,145,1,1
"8",0.471154450051783,0.47087649165919,1.01508825335292,0.562216041844202,-0.864214959246943,2.16973602274209,0.6022,0.6299,3,0.4703,0.5324,247,36.5,145,0.666666666666667,1
"9",0.448679247427482,0.47087649165919,2.03686805337319,1.25507585390658,-0.864214959246943,2.16973602274209,0.5617,0.6123,42,0.4703,0.5324,247,121,145,0.7,1
"10",0.428548144119537,0.47087649165919,-0.0487458932233725,-0.10438530712364,-0.864214959246943,2.16973602274209,0.4572,0.5352,287,0.4703,0.5324,247,222.5,145,0.875,1
