"","oppteam","season","team","score","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","scorediff","lose","daynum","numot","wloc","losel","orig_order","spell","team.survscores","opp.survscores","win","winper","orank.x","orank.y"
"1",1102,2015,1161,92,30,57,8,26,24,36,10,29,20,11,1,3,15,5,0,68,0,"A",FALSE,2409,0,0.413294967135742,0.523622495584874,"win",TRUE,197,225.5
"2",1102,2015,1307,60,19,38,6,20,16,23,7,22,17,16,7,4,20,12,0,72,0,"H",FALSE,2628,1,0.509848909839157,0.523622495584874,"win",TRUE,54.5,225.5
"3",1102,2015,1403,63,20,52,6,19,17,22,15,16,8,18,9,4,13,1,0,27,0,"H",FALSE,914,2,0.502973526885783,0.523622495584874,"win",TRUE,93,225.5
"4",1102,2015,1129,67,23,50,10,27,11,12,6,25,15,10,7,3,16,25,0,100,0,"H",FALSE,3923,7,0.448516258296998,0.523622495584874,"win",TRUE,150,225.5
"5",1102,2015,1424,75,28,55,9,25,10,12,12,28,22,15,0,6,17,-1,1,103,0,"H",TRUE,9396,1,0.511490357520263,0.523622495584874,"lose",FALSE,70,225.5
"6",1102,2015,1429,71,26,48,13,23,6,9,2,22,22,8,4,4,13,12,0,75,0,"H",FALSE,2843,0,0.493210973123985,0.523622495584874,"win",TRUE,49,225.5
"7",1102,2015,1240,65,25,66,9,25,6,7,9,32,14,7,2,1,16,-1,1,49,1,"H",TRUE,7053,0,0.525223836714973,0.523622495584874,"lose",FALSE,270.5,225.5
"8",1102,2015,1129,80,25,50,12,28,18,22,6,17,14,10,6,1,20,12,0,129,0,"N",FALSE,5225,6,0.448516258296998,0.523622495584874,"win",TRUE,150,225.5
"9",1102,2015,1154,55,21,51,4,18,9,19,11,10,7,11,6,0,17,-13,1,12,0,"N",TRUE,5467,0,0.535316433437156,0.523622495584874,"lose",FALSE,174.5,225.5
"10",1102,2015,1363,52,17,44,6,18,12,16,4,13,11,14,5,4,23,-14,1,86,0,"A",TRUE,8616,0,0.55779918488325,0.523622495584874,"lose",FALSE,197.5,225.5
"11",1102,2015,1307,49,17,42,9,23,6,12,6,29,12,14,4,5,15,-4,1,93,0,"H",TRUE,8946,1,0.509848909839157,0.523622495584874,"lose",FALSE,54.5,225.5
"12",1102,2015,1305,70,24,52,8,18,14,32,16,26,12,16,12,4,31,-5,1,114,0,"H",TRUE,9925,0,0.537131805666044,0.523622495584874,"lose",FALSE,97.5,225.5
"13",1102,2015,1161,66,23,53,8,22,12,16,10,25,14,15,8,8,14,13,0,110,0,"H",FALSE,4385,1,0.413294967135742,0.523622495584874,"win",TRUE,197,225.5
"14",1102,2015,1115,47,17,40,6,15,7,11,4,4,12,15,8,3,18,-33,1,40,0,"H",TRUE,6665,0,0.526153021032248,0.523622495584874,"lose",FALSE,312.5,225.5
"15",1102,2015,1361,53,22,61,4,21,5,10,11,16,12,9,6,4,14,4,0,58,0,"H",FALSE,1999,2,0.470820550410746,0.523622495584874,"win",TRUE,41,225.5
"16",1102,2015,1119,84,30,61,13,25,11,17,14,19,18,15,6,4,21,6,0,11,0,"H",FALSE,5,0,0.507944630742387,0.523622495584874,"win",TRUE,290,225.5
"17",1102,2015,1424,74,24,52,9,24,17,24,9,17,16,5,6,6,9,11,0,89,0,"H",FALSE,3515,2,0.511490357520263,0.523622495584874,"win",TRUE,70,225.5
"18",1102,2015,1363,56,22,49,9,27,3,8,4,18,11,14,6,2,13,-22,1,65,0,"H",TRUE,7627,0,0.55779918488325,0.523622495584874,"lose",FALSE,197.5,225.5
"19",1102,2015,1429,74,24,50,8,26,18,20,5,30,13,10,4,7,18,14,0,117,0,"A",FALSE,4829,5,0.493210973123985,0.523622495584874,"win",TRUE,49,225.5
"20",1102,2015,1305,80,24,50,7,23,25,35,16,18,18,10,6,1,18,18,0,61,0,"H",FALSE,2125,1,0.537131805666044,0.523622495584874,"win",TRUE,97.5,225.5
"21",1102,2015,1212,34,13,45,1,8,7,11,9,3,9,11,5,1,21,-25,1,30,0,"H",TRUE,6339,0,0.55779918488325,0.523622495584874,"lose",FALSE,342,225.5
"22",1102,2015,1461,50,17,49,8,30,8,16,10,18,8,11,5,4,11,-23,1,96,0,"H",TRUE,9065,2,0.470404686454246,0.523622495584874,"lose",FALSE,123,225.5
"23",1102,2015,1129,77,26,45,14,22,11,14,4,15,19,9,8,1,13,9,0,82,0,"A",FALSE,3064,3,0.448516258296998,0.523622495584874,"win",TRUE,150,225.5
