"","oppteam","season","team","score","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","scorediff","lose","X","daynum","numot","wloc","team.survscores","opp.survscores","win","powscore1","powscore2","opp.powscore1","opp.powscore2","orank.x","orank.y","sos.x","rpi.x","rank.x","sos.y","rpi.y","rank.y","winperlastq.x","winperlastq.y"
"1",1102,2004,1314,63,22,53,4,13,15,18,14,21,12,13,10,1,15,11,0,74,136,0,"N",0.488645629136204,0.415490341598372,"win",2.72875381242769,0.00589757004729079,-2.49317603140806,2.41604496421005,14,43,0.5853,0.5718,10,0.5235,0.4998,95,0.571428571428571,0.625
"2",1102,2006,1228,78,29,50,8,22,12,14,7,21,17,11,6,1,17,9,0,200,136,0,"N",0.399662328942464,0.428171365386554,"win",0.335756701037382,1.54493764222859,-2.2289156049928,2.23650194224976,7,46,0.563,0.6672,37,0.4918,0.5259,166,0.625,0.857142857142857
"3",1103,2009,1211,77,23,44,5,15,26,31,7,27,15,8,5,5,18,13,0,388,136,0,"N",0.413036982834798,0.487986015928875,"win",1.37515400802808,1.73496078165378,0.000993669112033232,0.59045189580395,17,111,0.5282,0.5923,93,0.5082,0.5529,135,1,0.636363636363636
"4",1104,2004,1393,71,26,55,5,14,14,20,16,19,12,18,5,4,20,-9,1,114,143,0,"N",0.413447158769255,0.487429811817207,"lose",1.16616093496905,-0.33291378545654,0.29158456509834,0.335344738059245,29,36.5,0.5629,0.6291,40,0.5735,0.5819,20,0.75,0.666666666666667
"5",1104,2004,1390,67,26,73,7,24,8,11,22,27,12,12,2,0,31,-3,1,98,138,0,"N",0.289083957463086,0.487429811817207,"lose",1.14750866830399,-0.164731157667442,0.29158456509834,0.335344738059245,4,36.5,0.5691,0.6123,28,0.5735,0.5819,20,0.9,0.666666666666667
"6",1104,2004,1163,87,29,60,10,17,19,29,15,25,17,7,3,7,18,16,0,122,145,0,"N",0.429822645311328,0.487429811817207,"win",2.55903070631225,0.852733854332654,0.29158456509834,0.335344738059245,9,36.5,0.5574,0.593,47,0.5735,0.5819,20,0.8,0.666666666666667
"7",1104,2004,1356,64,24,59,12,22,4,5,10,20,15,10,4,1,14,-1,1,66,136,0,"N",0.373180219326308,0.487429811817207,"lose",0.45714511256605,0.936555823346316,0.29158456509834,0.335344738059245,29,36.5,0.5157,0.5867,112,0.5735,0.5819,20,0.75,0.666666666666667
"8",1104,2005,1454,83,26,50,12,21,19,28,8,14,20,7,6,1,18,10,0,145,136,0,"N",0.424081728440516,0.451669894107439,"win",0.896787396335095,1.28407174545204,0.759375166929342,0.928046804540839,58,18,0.5263,0.5555,99,0.6127,0.6061,1,1,0.666666666666667
"9",1104,2006,1266,85,32,61,7,22,14,19,13,15,13,12,9,4,22,-5,1,194,136,0,"N",0.491300046533071,0.504961736067032,"lose",0.364075381795885,1.34957227091685,0.358851888363717,-0.299875141918691,38,56,0.5409,0.5456,77,0.5682,0.6204,31,0.571428571428571,0.5
"10",1104,2006,1417,62,24,47,9,25,5,13,7,14,17,11,5,4,20,3,0,231,138,0,"N",0.438411835010205,0.504961736067032,"win",-0.00707461677063811,0.525439674422102,0.358851888363717,-0.299875141918691,17,56,0.564,0.5803,35,0.5682,0.6204,31,0.8,0.5
"11",1105,2005,1324,79,29,57,7,15,14,20,14,29,14,17,2,2,14,10,0,129,134,0,"N",0.528267288022177,0.498099876463984,"win",-0.243093377865402,0.267239872400578,1.22214123851211,-0.36514471096336,217,275,0.4751,0.4546,216,0.4145,0.423,319,0.6,0.7
"12",1106,2004,1181,96,32,66,9,26,23,31,17,29,19,14,14,4,19,35,0,69,136,0,"N",0.375499509207686,0.502418104370037,"win",1.96612958199749,0.599072509404739,-0.709618152085324,-1.1821172595209,2,291,0.5661,0.6246,32,0.4502,0.4537,284,0.6,0.9
"13",1106,2009,1287,58,18,50,4,15,18,24,16,34,13,21,6,2,14,15,0,385,134,0,"N",0.50843815990827,0.450103598174827,"win",0.747687227346728,-1.16884646017274,0.448299497695488,0.247771831554929,191,228,0.4504,0.4605,292,0.4036,0.4727,338,0.555555555555556,0.9
"14",1107,2006,1163,72,27,46,8,16,10,13,7,21,17,16,6,5,9,13,0,213,137,0,"N",0.369727140085685,0.461806486651548,"win",3.29222376620476,-0.106339857443697,-0.0271373996932907,0.104901643590254,3,163,0.5909,0.6264,5,0.4685,0.4784,230,0.75,0.75
"15",1107,2007,1438,84,30,56,9,17,15,18,15,26,16,8,3,5,14,27,0,286,137,0,"N",0.47378175641812,0.459049197823032,"win",1.37862705683844,0.582553706837187,-0.5077125180031,0.392189949386728,44,136.5,0.5674,0.5516,33,0.4616,0.5228,248,0.5,0.714285714285714
"16",1110,2008,1397,72,22,45,6,19,22,31,6,21,13,14,12,3,16,15,0,350,137,0,"N",0.392324575247117,0.48999471707019,"win",1.83467005995803,2.00748995163418,-0.872707046662976,0.0163461609651683,6,158,0.6029,0.6272,5,0.4586,0.4868,260,0.777777777777778,0.857142857142857
"17",1110,2009,1437,80,24,50,6,18,26,29,10,28,15,16,8,8,12,13,0,399,136,0,"N",0.443395399034611,0.419352682052953,"win",1.44062396969715,0.216394552349669,-0.979395874202805,0.859479986506694,18,122.5,0.5575,0.5725,47,0.4996,0.5441,158,0.666666666666667,1
"18",1112,2004,1371,80,27,58,8,22,18,24,12,21,12,10,6,0,19,4,0,75,136,0,"N",0.46864551476343,0.45864770440754,"win",0.592908789345639,0.348740504977456,2.74659120664389,1.03435357881461,30,25,0.5783,0.5803,13,0.5675,0.6489,30,0.5,0.666666666666667
"19",1112,2005,1329,78,29,66,10,23,10,13,16,11,17,8,10,0,17,-1,1,178,143,0,"N",0.443583506790368,0.42550780294014,"lose",0.936931245239053,1.2105059203269,1.51473123888113,1.32393578222486,7,11,0.5545,0.64,47,0.5503,0.5852,54,0.666666666666667,0.8
"20",1112,2005,1228,90,32,71,16,35,10,15,14,18,21,13,12,2,18,1,0,186,145,1,"N",0.272673134645419,0.42550780294014,"win",0.572412311250719,3.00665039001841,1.51473123888113,1.32393578222486,1,11,0.547,0.6103,62,0.5503,0.5852,54,0.888888888888889,0.8
"21",1112,2005,1412,63,21,64,6,30,15,18,15,17,15,14,9,2,22,-22,1,162,138,0,"N",0.469900358645171,0.42550780294014,"lose",1.33411899909535,0.816567514304058,1.51473123888113,1.32393578222486,50,11,0.5647,0.5959,35,0.5503,0.5852,54,0.555555555555556,0.8
"22",1112,2005,1429,53,20,55,7,19,6,10,12,20,15,12,6,3,16,-13,1,130,136,0,"N",0.458186308050532,0.42550780294014,"lose",0.403439333091474,0.935881483461755,1.51473123888113,1.32393578222486,71.5,11,0.4824,0.584,186,0.5503,0.5852,54,0.777777777777778,0.8
"23",1112,2006,1437,82,28,52,9,19,17,20,12,19,13,13,6,4,19,4,0,240,139,0,"N",0.386068142573002,0.483678945875601,"win",1.00121791078787,1.74266857651587,1.27852990760104,-0.248338817108323,3,34,0.5854,0.6251,9,0.5772,0.6387,17,0.777777777777778,0.666666666666667
"24",1112,2006,1458,75,25,58,10,20,15,22,12,15,19,10,4,3,17,-19,1,210,137,0,"N",0.477011356152837,0.483678945875601,"lose",0.890411698882804,0.425885185837039,1.27852990760104,-0.248338817108323,24,34,0.5846,0.626,11,0.5772,0.6387,17,0.428571428571429,0.666666666666667
"25",1112,2007,1345,72,24,63,5,17,19,29,19,20,10,8,12,1,18,9,0,280,137,0,"N",0.484817828116929,0.439765265628954,"win",0.218683842522376,0.283503715648337,1.50281701532059,0.023109839427187,44,14,0.4416,0.5,294,0.5948,0.6016,7,0.625,0.625
"26",1112,2007,1345,72,24,63,5,17,19,29,19,20,10,8,12,1,18,9,0,280,137,0,"N",0.484817828116929,0.439765265628954,"win",0.218683842522376,0.283503715648337,1.50281701532059,0.023109839427187,44,14,0.568,0.4885,32,0.5948,0.6016,7,0.625,0.625
"27",1112,2008,1452,75,28,55,11,19,8,9,6,21,16,9,6,3,17,10,0,335,136,0,"N",0.464747136477055,0.496673486960831,"win",0.859966064328974,1.15089286174019,-0.0436810256929167,0.206176374220199,25,26,0.5307,0.5751,99,0.6191,0.6241,2,0.727272727272727,0.4
