"id","pred"
"2015_1107_1112",0.859140307940212
"2015_1107_1116",0.739269376889626
"2015_1112_1116",0.176363070590333
"2015_1112_1124",0.365674957655444
"2015_1107_1124",0.864712581990737
"2015_1116_1124",0.818756593024059
"2015_1112_1125",0.239223490575213
"2015_1124_1125",0.260052052451247
"2015_1116_1125",0.497625141409391
"2015_1107_1125",0.760068406756247
"2015_1112_1129",0.220034854059814
"2015_1107_1129",0.739846689644684
"2015_1124_1129",0.202863869602885
"2015_1125_1129",0.296938124823474
"2015_1116_1129",0.421337199617878
"2015_1112_1138",0.290169477785416
"2015_1125_1138",0.502196132829313
"2015_1124_1138",0.366933753445719
"2015_1107_1138",0.760529046553636
"2015_1116_1138",0.584748794954211
"2015_1129_1138",0.580645512752096
"2015_1129_1139",0.759734556390456
"2015_1107_1139",0.838589822944494
"2015_1112_1139",0.369039748265732
"2015_1124_1139",0.505124278520562
"2015_1138_1139",0.627383982970294
"2015_1125_1139",0.704601616684206
"2015_1116_1139",0.784738580387794
"2015_1116_1140",0.800774377046479
"2015_1139_1140",0.744996653934615
"2015_1107_1140",0.826994357050078
"2015_1124_1140",0.666491050138302
"2015_1138_1140",0.815890147822971
"2015_1129_1140",0.782316082310227
"2015_1125_1140",0.800450761925654
"2015_1112_1140",0.489768216849901
"2015_1124_1153",0.230909285721631
"2015_1140_1153",0.250040628936123
"2015_1116_1153",0.640033308378474
"2015_1139_1153",0.237164809644804
"2015_1107_1153",0.775206286521849
"2015_1125_1153",0.552119056483814
"2015_1138_1153",0.449685142451107
"2015_1112_1153",0.175239152986912
"2015_1129_1153",0.621109773816106
"2015_1140_1157",0.148064566331588
"2015_1107_1157",0.274390470930287
"2015_1116_1157",0.237745762425696
"2015_1129_1157",0.185595887871044
"2015_1124_1157",0.149855576910559
"2015_1153_1157",0.197528935851163
"2015_1138_1157",0.206314237917082
"2015_1125_1157",0.160281119293475
"2015_1139_1157",0.167651098499126
"2015_1112_1157",0.157757648625731
"2015_1116_1172",0.798207400276608
"2015_1140_1172",0.425242780497768
"2015_1129_1172",0.760041913642457
"2015_1125_1172",0.76269953513779
"2015_1107_1172",0.82737528680079
"2015_1157_1172",0.848166415774359
"2015_1153_1172",0.702465468336841
"2015_1139_1172",0.599795501108557
"2015_1138_1172",0.770170868628516
"2015_1112_1172",0.324169668256383
"2015_1124_1172",0.396130724910301
"2015_1107_1173",0.808899002554775
"2015_1112_1173",0.302651423003647
"2015_1153_1173",0.571336807762611
"2015_1140_1173",0.276977571627671
"2015_1157_1173",0.830639481288133
"2015_1172_1173",0.266779319356174
"2015_1138_1173",0.628586961202113
"2015_1125_1173",0.709530264540833
"2015_1139_1173",0.487260514272216
"2015_1116_1173",0.751208855533771
"2015_1129_1173",0.713242430632044
"2015_1124_1173",0.316241266267974
"2015_1140_1181",0.762568908277564
